IATA,City,Country
TBS,Tbilisi,Turkey
ALG,Algiers,Algeria
MSQ,Minsk,Belorus
PUS,Busan,South Korea
HLD,Hulunbuir,China
PEK,Beijing,China
URS,Kursk,Russia
CEE,Cherepovets,Russia
KVK,Apatity,Russia
UCT,Ukhta,Russia
CSY,Cheboksary,Russia
PEE,Perm,Russia
AYT,Antalya,Turkey
IST,Istanbul,Turkey
KEJ,Kemerovo,Russia
LWN,Gyumri,Armenia
SAW,Pendik,Turkey
CIT,Shymkent,Kazakhstan
NQZ,Nursultan,Kazakhstan
SCO,Aktau,Kazakhstan
DXB,Dubai,United Arab Emirates
SKG,Thessaloniki,Greek
BQS,Blagoveshchensk,Russia
OSW,Orsk,Russia
SKX,Saransk,Russia
ADD,Bole,Ethiopia
AUH,Abu Dhabi,United Arab Emirates
MZR,Mazar-i-Sharif,Afganistan
NDG,Qiqihar,China
SHJ,Sharjah,United Arab Emirates
BAH,Bahrain,Bahrain
CKG,Chongqing,China
TAS,Tashkent,Uzbekistan
NCU,Nukus,Uzbekistan
TMJ,Termez,Uzbekistan
UGC,Urgench,Uzbekistan
KHV,Khabarovsk,Russia
BQG,Bogorodskoye,Russia
NGK,Nogliki,Russia
OHH,Okha,Russia
UUS,Yuzhno-Sakhalinsk,Russia
CTS,Sapporo,Japan
DEE,Yuzhno-Kurilsk,Russia
EKS,Shakhtyorsk,Russia
ITU,Iturup ,Russia
PKC,Petropavlovsk-Kamchatsky,Russia
HRB,Harbin,China
MDG,Mudanjiang,China
TLY,Plastun,Russia
YNJ,Yanji Chaoyangchuan,China
KRO,Kurgan,Russia
IJK,Izhevsk,Russia
BGW,Baghdad,Iraq
ZIA,Moscow,Russia
GYD,Baku,Azerbaijan
NJC,Nizhnevartovsk,Russia
RGK,Gorno-Altaysk,Russia
GDX,Magadan,Russia
KPW,Keperveyem,Russia
OHO,Okhotsk,Russia
BAX,Barnaul,Russia
KYZ,Kyzyl,Russia
NER,"Chulman, Neryungri",Russia
NZH,Manzhouli,Mongolia
SBT,Sabetta,Russia
GUW,Atyrau,Kazakhstan
IKA,Tehran,Iran
KVD,Ganja,Azerbaijan
ALA,Almaty,Kazakhstan
KSZ,Kotlas,Russia
USK,Usinsk,Russia
INA,Inta,Russia
PEX,Pechora,Russia
UTS,Ust-Tsilma,Russia
TLV,Tel Aviv,Israel
ULN,Ulaanbaatar,Mongolia
CAI,Cairo,Egypt
MQF,Magnitogorsk,Russia
DOH,Doha,Quatar
DYR,Anadyr,Russia
OLZ,Olyokminsk,Russia
BQJ,Batagay,Russia
CKH,Chokurdakh,Russia
IKS,Tiksi,Russia
MQJ,Khonuu,Russia
NYR,Nyurba,Russia
PWE,Pevek,Russia
SUY,Suntar,Russia
UKG,Ust'-Kuyga,Russia
ZIX,Zhigansk,Russia
ZKP,Zyryanka,Russia
AMM,Amman,Jordan
GDZ,Gelendzhik,Russia
OVS,Sovetsky,Russia
UUA,Bugulma,Russia
SLY,Salekhard,Russia
AAQ,Anapa,Russia
ABA,Abakan,Russia
ASB,Ashgabat,Turkmenistan
BUS,Batumi,Turkey
LBD,Khujand,Tajikistan
NOZ,Novokuznetsk,Russia
NSK,Norilsk,Russia
OSS,Osh,Kyrgyzstan
PWQ,Pavlodar,Kazakhstan
UKK,Oskemen,Kazakhstan
URA,Uralsk,Kazakhstan
BKK,Bangkok,Thailand
CAN,Guangzhou,China
IAR,Yaroslavl,Russia
DYU,Dushanbe,Tajikistan
KGF,Karaganda,Kazakhstan
PVG,Shanghai,China
AKX,Aktobe,Kazakhstan
BEY,Beirut,Lebanon
DEL,Delhi,India
HMA,Khanty-Mansiysk,Russia
KSN,Kostanay,Kazakhstan
MLE,Malé,Maldives
ESB,Ankara,Turkey
TAE,Daegu,South Korea
KUT,Kutaisi,Turkey
LLK,Lankaran,Azerbaijan
TJU,Kulob,Tajikistan
DSN,Ordos,Mongolia
HFE,Hefei,China
CGQ,Longjia,China
EZV,Berezovo,Russia
NYA,Nyagan,Russia
IRM,Igrim,Russia
URJ,Uray,Russia
KGP,Kogalym,Russia
NAJ,Nakhchivan,Azerbaijan
MCT,Muscat,Oman
RKT,Ras al Khaimah,United Arab Emirates
IAA,Igarka,Russia
TGP,"Podkamennaya Tunguska, Bor",Russia
THX,Turukhansk,Russia
RTW,Saratov,Russia
